zeta,Score,Eps
1,0.64137931,0.36
10,0.634228188,0.36
20,0.636666667,0.36
30,0.62,0.36
40,0.623333333,0.36
50,0.633333333,0.36
1,0.594117647,0.38
10,0.578212291,0.38
20,0.591666667,0.38
30,0.565934066,0.38
40,0.576923077,0.38
50,0.571428571,0.38
1,0.573248408,0.4
10,0.545731707,0.4
20,0.566666667,0.4
30,0.572727273,0.4
40,0.563636364,0.4
50,0.572727273,0.4
1,0.601769912,0.42
10,0.583333333,0.42
20,0.570833333,0.42
30,0.575,0.42
40,0.583333333,0.42
50,0.5625,0.42
